"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","0.1u","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"2","C3","1","680uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C4","1","220uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"4","C5","1","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"5","D1, D3","2","1N4148","Diode_THT:D_DO-35_SOD27_P5.08mm_Vertical_KathodeUp",""
"6","D2","1","LED","LED_THT:LED_D3.0mm",""
"7","D4","1","D","",""
"8","D5","1","D_Schottky","",""
"9","J1","1","IN 12V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"10","J2","1","Receptor RF","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"11","J3","1","ESP01","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical",""
"12","J6","1","jumpers salida","",""
"13","J7","1","OUT 1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",""
"14","J8","1","Conn_01x04_Pin","",""
"15","K1","1","SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C",""
"16","L1","1","L","",""
"17","Q1","1","BC546","Package_TO_SOT_THT:TO-92_Inline",""
"18","R1, R3, R4, R7","4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R2","1","10K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"20","R5","1","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R6","1","1K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"22","U1","1","LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3",""
"23","U2","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"24","W26/34","1","Screw_Terminal_01x03","",""
